118050,8,79475585,16/12/2019
118050,5,79475585,30/04/2020
118050,11,81114108,09/03/2020
126218,11,33713901,26/01/2020
126218,6,71984468,28/11/2021
126218,3,79140840,17/07/2021
151641,4,32821689,10/02/2020
151641,6,91897732,20/07/2020
170844,9,45783712,06/07/2020
178943,9,33397650,26/12/2021
178943,1,46462527,27/05/2019
178943,2,46462527,16/03/2021
179485,11,33397650,15/01/2021
182942,2,46462527,12/10/2019
182942,3,81114108,06/10/2020
204890,1,48184351,02/02/2022
204890,6,91897732,13/03/2019
283781,7,71984468,05/03/2021
285807,4,33397650,01/01/2019
308982,11,29847168,04/03/2020
308982,6,46462527,23/08/2021
308982,3,71378466,24/04/2019
308982,10,79140840,15/04/2021
308982,7,81114108,21/09/2020
311343,11,62566305,30/07/2020
311343,4,83236386,06/08/2020
317404,2,17913944,22/03/2021
317404,11,46462527,06/06/2021
317404,5,48184351,29/09/2021
317404,3,79140840,20/05/2021
330512,1,46462527,03/10/2021
330512,1,71378466,19/12/2021
330512,6,71984468,26/11/2020
365379,4,83236386,13/07/2019
365906,11,33397650,17/08/2019
365906,9,91897732,17/12/2021
374253,9,33397650,07/10/2020
374253,4,33397650,24/03/2021
374253,5,76388967,05/01/2019
390920,8,17913944,22/04/2021
390920,5,46462527,12/03/2020
390920,4,79475585,14/05/2020
397718,0,46462527,18/10/2019
406688,9,32821689,19/10/2021
406688,1,33713901,19/04/2020
406688,9,83236386,03/08/2019
412041,9,33397650,28/06/2019
412041,3,45783712,01/07/2019
412041,2,71378466,26/10/2020
415932,1,17913944,13/08/2020
415932,1,17913944,04/07/2021
415932,7,33397650,05/06/2019
415932,11,33713901,06/05/2019
422763,2,17913944,23/09/2019
422763,3,17913944,05/02/2021
422763,4,29847168,02/08/2021
422763,4,32821689,28/04/2020
423073,12,91897732,09/11/2021
430669,10,79140840,18/05/2019
434681,9,17913944,29/11/2020
434681,4,46462527,14/07/2020
455703,2,79140840,28/05/2021
455703,12,81114108,24/01/2022
459032,5,33397650,13/12/2020
459032,10,71378466,29/05/2020
459032,8,79140840,29/05/2019
485302,1,48184351,25/07/2019
485302,5,71378466,04/01/2021
485302,8,71378466,17/01/2021
485302,9,91897732,05/07/2021
511824,7,33713901,19/03/2019
511824,4,48184351,31/05/2020
536472,6,33713901,03/12/2019
536472,12,48184351,31/12/2020
536472,3,76388967,29/11/2020
565169,6,48184351,29/03/2022
565169,11,57263719,10/10/2021
565169,5,79475585,18/07/2020
565169,5,81114108,05/06/2020
580927,4,29847168,01/01/2021
582920,6,17913944,29/11/2021
582920,10,46462527,16/08/2020
620036,8,29847168,23/04/2021
620036,4,57263719,19/05/2020
651034,3,33397650,11/11/2021
651034,8,71984468,11/02/2022
662083,5,57263719,01/01/2022
662083,2,81114108,10/07/2019
675770,5,17913944,20/10/2019
675770,2,83236386,11/09/2020
690039,8,45783712,05/01/2019
696000,1,17913944,28/12/2019
696000,8,33713901,02/12/2019
696000,8,45783712,02/10/2020
714788,7,62566305,23/11/2020
748008,3,48184351,18/04/2019
748008,8,79140840,21/02/2022
748899,11,46462527,26/07/2019
748899,9,79475585,24/01/2021
778066,9,57263719,22/11/2021
785062,4,33713901,05/08/2020
793026,10,32821689,01/07/2021
793026,5,57263719,06/01/2022
793026,7,79475585,07/09/2020
793026,7,81114108,13/07/2021
826317,4,46462527,29/05/2021
856894,7,17913944,15/10/2020
856894,5,48184351,02/06/2019
856894,12,48184351,17/04/2020
856894,1,57263719,25/09/2020
872819,6,32821689,19/04/2020
872819,1,83236386,20/10/2021
874503,1,71984468,07/08/2019
882099,1,32821689,01/01/2021
882099,2,62566305,27/02/2021
882099,12,62566305,23/01/2022
900698,5,46462527,09/10/2019
900698,5,81114108,19/05/2019
901816,5,33713901,02/09/2021
901816,2,46462527,27/12/2021
923804,7,71378466,19/03/2020
923804,11,83236386,15/08/2019
935218,1,29847168,30/12/2019
935218,2,76388967,21/04/2019
941699,3,33397650,29/07/2019
941699,9,57263719,27/07/2020
941699,6,81114108,05/02/2022
947176,6,33397650,01/02/2019
947176,6,76388967,03/02/2019
947176,2,91897732,09/03/2021
961802,1,29847168,26/06/2020
961802,12,91897732,04/10/2021
979865,9,29847168,02/11/2021
979865,10,45783712,27/09/2019
992564,2,32821689,10/10/2020
992564,3,81114108,05/11/2020
997564,1,71984468,06/10/2019
997564,12,76388967,09/05/2020
