202123703,MEC270,202302,14
202315643,MEC270,202202,13
202312000,MEC206,202301,8
202318383,INF246,202202,16
202311247,MEC270,202302,19
202318320,MAT241,202302,19
202215067,MEC206,202201,18
202225778,MEC270,202201,16
202113223,MEC270,202202,16
202223508,MEC206,202202,15
202123373,INF246,202202,7
202115802,MEC206,202201,16
202226929,FIS220,202301,13
202315724,MEC270,202202,5
202313065,INF263,202202,16
202313249,FIS220,202302,17
202119958,MAT241,202302,17
202318318,INF246,202301,12
202313754,INF246,202201,20
202211325,INF263,202301,6
202127344,MEC270,202102,2
202216453,MEC206,202201,10
202123703,INF263,202302,9
202125775,FIS220,202202,19
202318320,MEC289,202302,16
202315763,MAT241,202202,20
202312000,MEC289,202302,18
202214204,INF246,202301,6
202125775,MEC206,202201,18
202129719,INF246,202201,16
202312050,MEC206,202301,17
202318320,FIS220,202202,11
202111260,MEC289,202202,15
202123703,MAT241,202202,13
202115802,INF263,202301,18
202313754,INF246,202102,6
202129785,MAT241,202201,12
202312360,MEC270,202301,14
202219773,MAT241,202202,13
202226249,MEC270,202202,20
202119707,INF246,202202,4
202116963,FIS220,202302,20
202121791,MAT241,202202,16
202129735,FIS220,202201,19
202318318,INF263,202201,17
202223508,FIS220,202302,8
202224569,MEC270,202301,20
202315724,MAT241,202202,12
202312050,INF263,202301,5
202214712,INF246,202302,12
202216453,MAT241,202201,4
202319927,MAT241,202301,20
202123402,INF246,202201,5
202125775,FIS220,202201,3
202315318,INF246,202302,17
202313122,MAT241,202201,11
202222447,INF263,202302,17
202313249,FIS220,202202,4
202215494,MEC206,202202,3
202226929,MEC270,202201,6
202312000,FIS220,202201,7
202315724,INF246,202202,17
202224569,INF263,202201,13
202213745,INF246,202201,12
202312050,MAT241,202302,10
202119707,MEC289,202202,7
202119153,MEC270,202201,16
202315527,INF263,202302,11
202312501,MEC270,202201,13
202216453,MEC270,202201,16
202116038,INF246,202202,11
202313249,INF246,202102,4
202129719,MEC270,202201,4
202319103,MAT241,202301,16
202319103,INF263,202202,13
202313249,INF246,202101,5
202119153,FIS220,202201,15
202318383,INF263,202201,12
202316015,INF246,202301,18
202115802,MEC206,202102,7
202114739,MAT241,202202,15
202125775,MEC270,202301,20
202312360,INF246,202201,5
202216453,MAT241,202301,11
202119707,INF246,202302,17
202224569,MEC206,202202,14
202127344,INF263,202202,16
202318320,MEC289,202301,9
202313122,MEC289,202101,4
202122742,FIS220,202301,17
202313122,MEC289,202102,9
202214204,MEC289,202202,20
202316015,FIS220,202202,13
202314919,MAT241,202201,7
202226929,MEC270,202301,15
202318320,INF263,202301,20
202114739,MEC206,202302,20
202215494,MEC206,202301,19
202315318,MAT241,202201,17
202311748,INF246,202302,18
202313249,MAT241,202202,9
202125607,FIS220,202202,14
202312501,MEC206,202302,16
202318383,INF246,202201,9
202313249,FIS220,202301,2
202319103,INF246,202202,7
202211325,INF263,202302,19
202111397,MEC270,202201,1
202119958,MEC270,202202,19
202315527,INF246,202301,7
202313249,INF246,202201,11
202129719,MEC270,202202,15
202211325,MAT241,202201,11
202215494,FIS220,202302,14
202111260,INF246,202301,11
202312050,MAT241,202202,2
202318072,INF263,202302,14
202313122,MEC206,202202,18
202215494,MEC270,202101,1
202127344,MEC270,202101,1
202224918,INF246,202202,13
202314919,FIS220,202301,20
202125607,MEC206,202201,19
202315643,INF246,202201,17
202215067,MEC289,202202,11
202115802,MEC289,202201,20
202215494,MEC270,202102,2
202227316,MEC289,202202,12
202227316,MEC289,202102,3
202127344,MEC270,202201,14
202312360,INF246,202301,12
202111397,FIS220,202202,6
202129735,MEC289,202201,13
202214204,MEC289,202201,4
202312050,MAT241,202301,7
202219437,MEC289,202302,17
202217030,INF263,202302,18
202227316,MEC289,202201,9
202312360,INF246,202202,5
202312000,MEC289,202301,2
202127660,INF263,202302,12
202226249,MEC289,202201,15
202119707,INF246,202301,5
202314919,MAT241,202202,18
202129719,FIS220,202201,16
202225778,MAT241,202301,12
202219773,INF246,202302,18
202116038,MAT241,202201,20
202313754,MEC270,202202,5
202313122,MEC289,202201,11
202319103,FIS220,202302,17
202219437,MEC289,202301,7
202123402,INF246,202202,16
202219437,MEC270,202202,8
202116963,MEC206,202301,14
202111397,FIS220,202201,1
202111397,MEC270,202202,19
202311748,FIS220,202302,5
202318320,INF263,202202,5
202123703,INF263,202301,9
202225778,INF246,202301,19
202214204,INF246,202302,16
202216453,MAT241,202202,3
202116963,MEC289,202302,20
202216453,MEC206,202102,8
202224918,MAT241,202201,12
202215494,MEC270,202201,16
202214712,MAT241,202202,19
202224569,FIS220,202302,17
202126490,MEC206,202302,11
202311247,MAT241,202302,15
202312360,MEC289,202202,19
202115400,FIS220,202201,15
202119958,INF246,202201,17
202226929,MEC270,202201,6
202312360,FIS220,202301,14
202129735,INF263,202302,16
202223508,MEC206,202201,2
202114285,MEC289,202301,19
