101,Adelantar o sobrepasar en forma indebida a otro vehículo.,Grave,316.00
102,No hacer señales ni tomar las precauciones para girar voltear en U.,Grave,316.00
103,Detener el vehículo bruscamente sin motivo.,Grave,316.00
104,No detenerse antes de la línea de parada o antes de las áreas de intersección de calzadas o no respetar el derecho de paso del peatón.,Grave,316.00
105,No mantener una distancia suficiente razonable y prudente de acuerdo al tipo de vehículo y la vía por la que se conduce mientras se desplaza o al detenerse detrás de otro.,Grave,316.00
106,No ubicar el vehículo con la debida anticipación en el carril donde va efectuar el giro o volteo.,Grave,316.00
107,No conducir por el carril de extremo derecho de la calzada un vehículo del servicio de transporte público de pasajeros o de carga.,Grave,316.00
108,No utilizar el carril derecho para recoger o dejar pasajeros o carga.,Grave,316.00
109,Retroceder salvo casos indispensables para mantener libre la circulación para incorporarse a ella o para estacionar el vehículo.,Grave,316.00
110,Incumplir las disposiciones sobre el uso de las vías de tránsito rápido y/o de acceso restringido.,Grave,316.00
111,Circular estacionar o detenerse sobre una isla de encauzamiento canalizadora de refugio o divisoria del tránsito,Grave,316.00
112,Girar estando el semáforo con luz roja y flecha verde sin respetar el derecho preferente de paso de los peatones.,Grave,316.00
113,Conducir un vehículo con mayor número de personas al número de asientos señalado en la Tarjeta de Identificación Vehicular.,Grave,316.00
114,Tener la puerta capot o maletera del vehículo abierta cuando el vehículo está en marcha.,Grave,316.00
115,No utilizar las luces intermitentes de emergencia de un vehículo cuando se detiene por razones de fuerza mayor.,Grave,316.00
116,Conducir un vehículo por una vía en la cual no está permitida la circulación o sobre mangueras contra incendio.,Grave,316.00
117,Conducir vehículos que tengan lunas o vidrios polarizados o acondicionados de modo tal que impidan la visibilidad del interior del vehículo sin la autorización correspondiente.,Grave,316.00
118,Conducir un vehículo haciendo uso de teléfono celular radio portátil o similar o cualquier otro objeto que impida tener ambas manos sobre el volante de dirección.,Grave,316.00
119,Conducir un vehículo de la categoría M o N que carezca de vidrios de seguridad reglamentarios o que su parabrisas se encuentre deteriorado trizado o con objetos impresos .,Grave,316.00
120,Conducir un vehículo que no cuenta con las luces y dispositivos retrorreflectivos previstos en los reglamentos pertinentes.,Grave,316.00
121,Conducir un vehículo sin espejos retrovisores.,Grave,316.00
122,Conducir un vehículo cuando llueve llovizne o garúe sin tener operativo el sistema de limpiaparabrisas.,Grave,316.00
123,Conducir un vehículo del servicio de transporte público urbano de pasajeros con personas de pie si la altura interior del vehículo no supera a 180 metros.,Grave,316.00
124,Conducir un vehículo con el motor en punto neutro o apagado.,Grave,316.00
125,Conducir un vehículo sin portar el certificado del Seguro Obligatorio de Accidentes de Tránsito o Certificado Contra Accidentes de Tránsito o que éstos no correspondan al uso del vehículo.,Grave,316.00
126,Conducir un vehículo de la categoría M o N con la salida del tubo de escape en la parte lateral derecha de modo tal que las emisiones o gases sean expulsados hacia la acera.,Grave,316.00
127,Conducir un vehículo cuya carga o pasajeros obstruya la visibilidad de los espejos laterales.,Grave,316.00
128,En vehículos de las categorías M y N no llevar puesto el cinturon de seguridad y/o permitir que los ocupantes del vehículo no lo utilicen.,Grave,316.00
129,Circular en forma desordenada o haciendo maniobras peligrosas.,Grave,316.00
130,Circular transportando personas en la parte exterior de la carroceria o permitir que sobresalga parte del cuerpo de la(s) persona(s) transportada(s) en el vehículo.,Grave,316.00
131,En las vías públicas urbanas circular en la noche o cuando la luz natural sea insuficiente o cuando las condiciones de visibilidad sean escasas sin tener encendido las luces reglamentarias.,Grave,316.00
132,Circular por vías o pistas exclusivas para bicicletas.,Grave,316.00
133,Circular transportando cargas que sobrepasen las dimensiones de la carrocería o que se encuentren ubicadas fuera de la misma.,Grave,316.00
134,Remolcar vehículos sin las medidas de seguridad.,Grave,316.00
135,Usar luces altas en vías urbanas o hacer mal uso de las luces.,Grave,316.00
136,Compartir el asiento de conducir con otra persona animal o cosa.,Grave,316.00
137,No reducir la velocidad al ingresar a un túnel o cruzar un puente o intersecciones o calles congestionadas o cuando se aproxime y tome una curva.,Grave,316.00
138,Transitar lentamente por el carril de la izquierda causando congestión o riesgo o rápidamente por el carril de la derecha.,Grave,316.00
139,Aumentar la velocidad cuando es alcanzado por otro vehículo que tiene la intención de sobrepasarlo o adelantarlo.,Grave,316.00
140,Estacionar el vehículo en zonas prohibidas o rigidas señalizadas o sin las señales de seguridad reglamentarias en caso de emergencia.,Grave,316.00
141,Estacionar o detener el vehículo sobre la línea demarcatoria de intersección dentro de éstas o en el crucero peatonal (paso peatonal).,Grave,316.00
142,Estacionar frente a la entrada o salida de garajes estacionamientos públicos vías privadas o en las salidas de salas espectáculos centros deportivos en funcionamiento.,Grave,316.00
143,Estacionar a una distancia menor de cinco (5) metros de una bocacalle de las entradas de hospitales cuerpos de bomberos o de hidrantes de servicio contra incendios.,Grave,316.00
144,Estacionar a menos de tres (3) metros de las puertas de establecimientos educacionales teatros iglesias y hoteles salvo los vehículos relacionados a la función del local.,Grave,316.00
145,Estacionar a menos de veinte (20) metros de un cruce ferroviario a nivel.,Grave,316.00
146,Estacionar en zonas no permitidas por la autoridad competente a menos de diez (10) metros de un cruce peatonal o de un paradero de buses.,Grave,316.00
147,Estacionar en lugar que afecte la operatividad del servicio de transporte de pasajeros o carga o que afecte la seguridad visibilidad o fluidez del tránsito o impida observar la señalización.,Grave,316.00
148,Estacionar un ómnibus microbus casa rodante camión remolque semirremolque plataforma tanque tractocamión tráiler volquete o furgón en en vías públicas de zona urbana.,Grave,316.00
149,Estacionar un vehículo de categorìa M N u O a una distancia menor a un metro de la parte delantera o posterior de otro ya estacionado .,Grave,316.00
150,Estacionar en los terminales o estaciones de ruta fuera de los estacionamientos externos determinados por la Autoridad competente.,Grave,316.00
151,Estacionar un vehículo por la noche en lugares donde por la falta de alumbrado público se impide su visibilidad sin mantener encendidas las luces de estacionamiento.,Grave,316.00
