422763,GALLETAS SUAVICREMAS FRESA 158GR,2,17913944,23/09/2019
675770,JARABE DE MAMEY 1.25KG,5,17913944,20/10/2019
696000,MEDIA CREMA NESTLE 1LT,1,17913944,28/12/2019
415932,SOPA MARUCHAN CAMARON 71GR,1,17913944,13/08/2020
856894,HARINA MAZATL 5KG,7,17913944,15/10/2020
434681,ELOTE DORADO DEL MONTE 225GR,9,17913944,29/11/2020
422763,GALLETAS SUAVICREMAS FRESA 158GR,3,17913944,05/02/2021
317404,LICUADO LALA CIRUELA PASA Y NUEZ 240GR,2,17913944,22/03/2021
390920,AGUA NIAGARA 500ML,8,17913944,22/04/2021
415932,SOPA MARUCHAN CAMARON 71GR,1,17913944,04/07/2021
582920,PINGUINOS MARINELA 40GR,6,17913944,29/11/2021
935218,FRIJOL AMARILLO KG,1,29847168,30/12/2019
308982,YOGHURT P BEBER FRUGGIS FRESA 150GR,11,29847168,04/03/2020
961802,ACHIOTE LA EXTRA 1KG,1,29847168,26/06/2020
580927,TORTILLAS DE HARINA DEL HOGAR 22P. 840GR,4,29847168,01/01/2021
620036,SABRITAS ORIGINAL SAL 490GR,8,29847168,23/04/2021
422763,GALLETAS SUAVICREMAS FRESA 158GR,4,29847168,02/08/2021
979865,GALLETAS MARIAS CUETARA 160GR,9,29847168,02/11/2021
151641,YOGHURT P BEBER LACTIGURT COCO 250G,4,32821689,10/02/2020
872819,GELATINA DE LECHE VAINILLA DANETTE 100GR,6,32821689,19/04/2020
422763,GALLETAS SUAVICREMAS FRESA 158GR,4,32821689,28/04/2020
992564,LECHUGA ROMANA,2,32821689,10/10/2020
882099,NESQUIK CHOCOLATE 200GR,1,32821689,01/01/2021
793026,YOGHURT NATURAL LIGHT LALA 1KG,10,32821689,01/07/2021
406688,CHURROMAIS CON LIMON 38GR,9,32821689,19/10/2021
285807,YOGHURT BIOBALANCE NUEZ Y FRU.SECOS 250G,4,33397650,01/01/2019
947176,SALSA DE CHILE HABANERO ROJO 260GR,6,33397650,01/02/2019
415932,SOPA MARUCHAN CAMARON 71GR,7,33397650,05/06/2019
412041,TORTILLAS DE MAIZ 1KG,9,33397650,28/06/2019
941699,MAIZ POZOLERO EXTRA 1KGR,3,33397650,29/07/2019
365906,AGUACATE REGIONAL KG.1.000 GR,11,33397650,17/08/2019
374253,TE DE MANZANILLA NEBO 24 1GR,9,33397650,07/10/2020
459032,GELATINA DANY LIMON 125GR,5,33397650,13/12/2020
179485,MOLE SURTIDO CON ESPECIAS 250GR,11,33397650,15/01/2021
374253,TE DE MANZANILLA NEBO 24 1GR,4,33397650,24/03/2021
651034,MANGO EN REBANADAS LA MORENA 800GR,3,33397650,11/11/2021
178943,YOGHURT P BEBER DURAZNO LIGHT YOP 250GR,9,33397650,26/12/2021
511824,FLAN LALA SABOR VAINILLA 100GR,7,33713901,19/03/2019
415932,SOPA MARUCHAN CAMARON 71GR,11,33713901,06/05/2019
696000,MEDIA CREMA NESTLE 1LT,8,33713901,02/12/2019
536472,SABRITAS CASERAS JALAPENO 42GR,6,33713901,03/12/2019
126218,TANJERINA,11,33713901,26/01/2020
406688,CHURROMAIS CON LIMON 38GR,1,33713901,19/04/2020
785062,CORAZON DE ALCACHOFA SAN MIGUEL,4,33713901,05/08/2020
901816,JUGO VALLE FRUT CITRUS 12 250ML,5,33713901,02/09/2021
690039,CORAZONES DE OREJONA PZA,8,45783712,05/01/2019
412041,TORTILLAS DE MAIZ 1KG,3,45783712,01/07/2019
979865,GALLETAS MARIAS CUETARA 160GR,10,45783712,27/09/2019
170844,EMPANIZADOR CONTADINA TRADICIONAL 283GR,9,45783712,06/07/2020
696000,MEDIA CREMA NESTLE 1LT,8,45783712,02/10/2020
178943,YOGHURT P BEBER DURAZNO LIGHT YOP 250GR,1,46462527,27/05/2019
748899,NARANJA SIN SEMILLA,11,46462527,26/07/2019
900698,VAINILLA MOLINA 500ML,5,46462527,09/10/2019
182942,ZAPOTE,2,46462527,12/10/2019
397718,LECHE LALA SEMI DESLACTOSADA 1LT,0,46462527,18/10/2019
390920,AGUA NIAGARA 500ML,5,46462527,12/03/2020
434681,ELOTE DORADO DEL MONTE 225GR,4,46462527,14/07/2020
582920,PINGUINOS MARINELA 40GR,10,46462527,16/08/2020
178943,YOGHURT P BEBER DURAZNO LIGHT YOP 250GR,2,46462527,16/03/2021
826317,CHAMYTO BIG 114ML,4,46462527,29/05/2021
317404,LICUADO LALA CIRUELA PASA Y NUEZ 240GR,11,46462527,06/06/2021
308982,YOGHURT P BEBER FRUGGIS FRESA 150GR,6,46462527,23/08/2021
330512,YOGHURT LALA LIGHT 240GR,1,46462527,03/10/2021
901816,JUGO VALLE FRUT CITRUS 12 250ML,2,46462527,27/12/2021
748008,SANDWICH COMBINADA 3 FLORES 150GR,3,48184351,18/04/2019
856894,HARINA MAZATL 5KG,5,48184351,02/06/2019
485302,YOGHURT LALA FRESA 240GR,1,48184351,25/07/2019
856894,HARINA MAZATL 5KG,12,48184351,17/04/2020
