118050,8,8,79475585,16/12/2021
118050,5,5,79475585,30/04/2021
118050,11,11,81114108,09/03/2021
126218,11,5.5,33713901,26/01/2021
126218,6,3,71984468,28/11/2021
126218,3,1.5,79140840,17/07/2021
151641,4,8,32821689,10/02/2021
151641,6,12,91897732,20/07/2021
170844,9,27,45783712,06/07/2021
178943,9,27,33397650,26/12/2021
178943,1,3,46462527,27/05/2021
178943,2,6,46462527,16/03/2021
179485,11,55,33397650,15/01/2021
182942,2,2,46462527,12/10/2021
182942,3,3,81114108,06/10/2021
204890,6,12,91897732,13/03/2021
283781,7,35,71984468,05/03/2021
285807,4,20,33397650,01/01/2021
308982,11,22,29847168,04/03/2021
308982,6,12,46462527,23/08/2021
308982,3,6,71378466,24/04/2021
308982,10,20,79140840,15/04/2021
308982,7,14,81114108,21/09/2021
311343,11,55,62566305,30/07/2021
311343,4,20,83236386,06/08/2021
317404,2,4,17913944,22/03/2021
317404,11,22,46462527,06/06/2021
317404,5,10,48184351,29/09/2021
317404,3,6,79140840,20/05/2021
330512,1,3,46462527,03/10/2021
330512,1,3,71378466,19/12/2021
330512,6,18,71984468,26/11/2021
365379,4,16,83236386,13/07/2021
365906,11,11,33397650,17/08/2021
365906,9,9,91897732,17/12/2021
374253,9,9,33397650,07/10/2021
374253,4,4,33397650,24/03/2021
374253,5,5,76388967,05/01/2021
390920,8,16,17913944,22/04/2021
390920,5,10,46462527,12/03/2021
390920,4,8,79475585,14/05/2021
397718,0,0,46462527,18/10/2021
406688,9,4.5,32821689,19/10/2021
406688,1,0.5,33713901,19/04/2021
406688,9,4.5,83236386,03/08/2021
412041,9,45,33397650,28/06/2021
412041,3,15,45783712,01/07/2021
412041,2,10,71378466,26/10/2021
415932,1,3,17913944,13/08/2021
415932,1,3,17913944,04/07/2021
415932,7,21,33397650,05/06/2021
415932,11,33,33713901,06/05/2021
422763,2,1,17913944,23/09/2021
422763,3,1.5,17913944,05/02/2021
422763,4,2,29847168,02/08/2021
422763,4,2,32821689,28/04/2021
423073,12,12,91897732,09/11/2021
430669,10,30,79140840,18/05/2021
434681,9,9,17913944,29/11/2021
434681,4,4,46462527,14/07/2021
455703,2,10,79140840,28/05/2021
459032,5,15,33397650,13/12/2021
459032,10,30,71378466,29/05/2021
459032,8,24,79140840,29/05/2021
485302,1,5,48184351,25/07/2021
485302,5,25,71378466,04/01/2021
485302,8,40,71378466,17/01/2021
485302,9,45,91897732,05/07/2021
511824,7,21,33713901,19/03/2021
511824,4,12,48184351,31/05/2021
536472,6,30,33713901,03/12/2021
536472,12,60,48184351,31/12/2021
536472,3,15,76388967,29/11/2021
565169,11,22,57263719,10/10/2021
565169,5,10,79475585,18/07/2021
565169,5,10,81114108,05/06/2021
580927,4,20,29847168,01/01/2021
582920,6,24,17913944,29/11/2021
582920,10,40,46462527,16/08/2021
620036,8,40,29847168,23/04/2021
620036,4,20,57263719,19/05/2021
651034,3,15,33397650,11/11/2021
662083,2,10,81114108,10/07/2021
675770,5,25,17913944,20/10/2021
675770,2,10,83236386,11/09/2021
690039,8,8,45783712,05/01/2021
696000,1,5,17913944,28/12/2021
696000,8,40,33713901,02/12/2021
696000,8,40,45783712,02/10/2021
714788,7,21,62566305,23/11/2021
748008,3,15,48184351,18/04/2021
748899,11,11,46462527,26/07/2021
748899,9,9,79475585,24/01/2021
778066,9,9,57263719,22/11/2021
785062,4,8,33713901,05/08/2021
793026,10,50,32821689,01/07/2021
793026,7,35,79475585,07/09/2021
793026,7,35,81114108,13/07/2021
826317,4,4,46462527,29/05/2021
856894,7,70,17913944,15/10/2021
856894,5,50,48184351,02/06/2021
856894,12,120,48184351,17/04/2021
856894,1,10,57263719,25/09/2021
872819,6,12,32821689,19/04/2021
872819,1,2,83236386,20/10/2021
874503,1,1,71984468,07/08/2021
882099,1,5,32821689,01/01/2021
882099,2,10,62566305,27/02/2021
900698,5,25,46462527,09/10/2021
900698,5,25,81114108,19/05/2021
901816,5,15,33713901,02/09/2021
901816,2,6,46462527,27/12/2021
923804,7,7,71378466,19/03/2021
923804,11,11,83236386,15/08/2021
935218,1,3,29847168,30/12/2021
935218,2,6,76388967,21/04/2021
941699,3,9,33397650,29/07/2021
941699,9,27,57263719,27/07/2021
947176,6,18,33397650,01/02/2021
947176,6,18,76388967,03/02/2021
947176,2,6,91897732,09/03/2021
961802,1,1,29847168,26/06/2021
961802,12,12,91897732,04/10/2021
979865,9,4.5,29847168,02/11/2021
979865,10,5,45783712,27/09/2021
992564,2,1,32821689,10/10/2021
992564,3,1.5,81114108,05/11/2021
997564,1,1,71984468,06/10/2021
997564,12,12,76388967,09/05/2021
